n_simulations,vectorised_seconds,loop_seconds,speedup
1000,0.008047500043176115,0.01721489999908954,2.1391612186056377
5000,0.04333260003477335,0.0979771000565961,2.2610482633853466
10000,0.09336599998641759,0.2226954000070691,2.3851873277152893
25000,0.22092979995068163,0.4610035000368953,2.086651507129439
