risk_per_trade,actual_return,actual_max_drawdown,actual_return_to_drawdown,p_beats_on_return,p_beats_on_ratio,p_beats_on_sharpe,median_sim_return,median_sim_drawdown,p95_sim_drawdown,benchmark_return,benchmark_drawdown
0.0025,0.501572321140554,0.04211753555778205,11.908871554282538,0.0,0.47516,0.95656,0.5022585436082483,0.030214951567246608,0.048486977688967405,7.410803781865466,0.43921158379447683
0.005,1.2390455899507806,0.08272441107275084,14.97799227438584,0.0,0.661,0.95656,1.241226659580953,0.05976188496987728,0.09498583784382006,7.410803781865466,0.43921158379447683
0.0075,2.3156504152534256,0.1218620848088301,19.002222216090253,8e-05,0.78656,0.95656,2.3208196684239737,0.08862796146942303,0.13962295394549973,7.410803781865466,0.43921158379447683
0.01,3.8762049384274326,0.15957147479162312,24.29133993709832,0.0486,0.86824,0.95656,3.886344514969207,0.11684068856125024,0.1824951068746861,7.410803781865466,0.43921158379447683
0.015,9.332417628625269,0.23086623645258506,40.423484057366466,0.66472,0.94488,0.95656,9.366146183976142,0.17127490431448233,0.26323009470284237,7.410803781865466,0.43921158379447683
0.02,20.30894288232316,0.29692439744877785,68.3976899736797,0.92576,0.97484,0.95656,20.415669212418287,0.22326120434255609,0.337590114446352,7.410803781865466,0.43921158379447683
0.03,82.66216532680247,0.41454353955224743,199.40526733593939,0.99236,0.9914,0.95656,83.24705089467392,0.31994437570913714,0.4682168504928815,7.410803781865466,0.43921158379447683
0.05,942.7271818340041,0.5996791121457581,1572.0527240989923,0.99868,0.99716,0.95656,953.7568211140824,0.4867738852069068,0.6666052748431769,7.410803781865466,0.43921158379447683
