n_trades,seconds,peak_mb
100,0.011683300021104515,24.001875
250,0.026678099995478988,60.001875
500,0.0817130000796169,120.001875
736,0.09888030006550252,176.641875
1500,0.1835637999465689,360.001875
3000,0.37369589996524155,720.001875
