n_simulations,p_return_mean,p_return_std,p_return_range,p_ratio_mean,p_ratio_std,p_ratio_range,p_sharpe_mean,p_sharpe_std,p_sharpe_range,mean_seconds
100,0.06,0.02374102701309199,0.08,0.89,0.03074824459143233,0.09000000000000008,0.9591666666666666,0.023143164446679697,0.06999999999999995,0.0034329416618372
250,0.057,0.015550504230351562,0.052,0.8803333333333333,0.024027761721253486,0.06400000000000006,0.9553333333333334,0.01552319867068956,0.05599999999999994,0.006427866678374509
500,0.057,0.01333484839877011,0.033999999999999996,0.8748333333333332,0.013224174374182612,0.04600000000000004,0.952,0.010548588875898391,0.039999999999999925,0.012780608337682983
1000,0.0565,0.008229658117277579,0.023000000000000007,0.8678333333333333,0.013292741240879166,0.038000000000000034,0.9531666666666666,0.00959955807063614,0.030999999999999917,0.03466516667200873
2500,0.05726666666666667,0.004310944493291745,0.013999999999999999,0.8691666666666666,0.007640006346181708,0.028000000000000025,0.9552999999999999,0.004627585272530976,0.017199999999999993,0.07591562498904143
5000,0.057666666666666665,0.0035760143718781084,0.012199999999999996,0.8709333333333333,0.004807065506926087,0.017800000000000038,0.9555333333333333,0.0030251471289038214,0.010199999999999987,0.1307870166589661
10000,0.05808333333333334,0.0021391728789559314,0.008099999999999996,0.87055,0.003794373825451698,0.015800000000000036,0.9548166666666668,0.001991268820413652,0.006700000000000039,0.3003082583115126
25000,0.057883333333333335,0.0015404800511135451,0.005640000000000006,0.8693733333333333,0.00278673916101151,0.010440000000000005,0.9546466666666666,0.0010257532339552722,0.0035999999999999366,0.7477091083322497
50000,0.05772666666666667,0.0010693866834722953,0.0032999999999999974,0.8689916666666666,0.0010099669961604434,0.0030000000000000027,0.9546583333333333,0.0004942916572472614,0.0018799999999999928,1.4874897333114252
