n_simulations,seconds,peak_mb,within_target
1000,0.007941099989693612,17.66731,True
5000,0.039620099996682256,88.321875,True
10000,0.08210729999700561,176.641875,True
25000,0.22078139998484403,441.601875,True
50000,0.4363279999815859,883.201875,True
100000,0.9421322999987751,1766.401875,True
